phrase,nb_fp,faux_positifs
"An der Sitzung des IKEH vom 9.11.1990, welche die oben erläuterten Prioritätensetzungen und organisatorischen Vorkehren traf, nahmen folgende Bundesämter teil: die DEH, die DIO, die DV (alle EDA), das BUWAL (EDI), das BAWI (EVD), das BEW (EVED), das BAGE (EJPD) sowie die EFV (EFD). Das BEW (EVED), das BAGE (EJPD), das EPA (EFD) sowie die EFV (EFD) wurden zum vorliegenden Antrag konsultiert. Die erwähnten Ämter sind mit dem Antrag einverstanden.",9,EJPD (https://dodis.ch/R180) | EVD (https://dodis.ch/R61) | BUWAL (https://dodis.ch/R22816) | EFV (NIL) | EDI (https://dodis.ch/R152) | EFD (https://dodis.ch/R43) | EVED (https://dodis.ch/R537) | BEW (NIL) | EPA (NIL)
"BRF [Bundesrat Felber] gibt einleitend in grosser Offenheit seiner Besorgnis, ja seinem Unmut über die Entwicklung der EWR-Verhandlungen Ausdruck. Die Schweiz fühle sich nach der Einladung Delors’ zu Verhandlungen unter gleichberechtigten Partnern im Lichte der ständig höher geschraubten Forderungen der EG und der grossen Konzessionen der EFTA-Länder zusehends hinters Licht geführt. Eine Satellisierung ohne institutionellen Mitentscheid könne dem Schweizer Volk nicht verkauft werden. Die Schweiz befinde sich in einem schwierigen Dilemma. Einerseits will der Bundesrat den EWR zu Ende verhandeln, er kann aber andererseits keine Unterzeichnung garantieren. Angesichts der durch die Haltung anderer EFTA-Staaten eingetretenen Schwächung der Position möchte der Bundesrat die Sache der EFTA-Länder nicht noch weiter schmälern. Im übrigen sei es so, dass Schweden und Österreich sich über ein allfälliges EG-Beitrittsgesuch der Schweiz nicht begeistert zeigen würden, da sie befürchten, dadurch würden die Beitrittsverhandlungen verlangsamt. Dem Bundesrat schweben verschiedene Möglichkeiten vor: 1) Unterzeichnung mit gleichzeitigem Beitrittsgesuch, 2) Einschluss einer Beitrittsklausel im EWR-Vertrag, 3) Verzicht auf EWR und direktes Anpeilen der EG-Mitgliedschaft. Die letzte Variante sei insofern gefährlich, als die Verhandlungen wieder ganz von vorne beginnen und als die Bevölkerung nach den schlechten Erfahrungen mit den EWR-Verhandlungen einer Integration skeptisch gegenüberstehe. Die öffentliche Meinung lege das Schwergewicht eben auf die Dinge, die nicht gut funktionieren. Der Bundesrat muss aber in unserem politischen System mit der Öffentlichkeit arbeiten. Eine EWR-Ablehnung durch das Volk stelle auch einen EG-Beitritt in Frage, obwohl die sich abzeichnenden föderalen Strukturen vielversprechend seien. Der schweizerische Alleingang wäre jedenfalls die schlechteste Lösung.",9,EG-Beitritt (https://dodis.ch/R9899) | EFTA-Staaten (https://dodis.ch/R10096) | EG-Mitgliedschaft (https://dodis.ch/R9899) | EFTA-Länder (https://dodis.ch/R10096) | EWR-Ablehnung (https://dodis.ch/R18628) | EWR-Verhandlungen (https://dodis.ch/R18628) | BRF (https://dodis.ch/P24533) | EG-Beitrittsgesuch (https://dodis.ch/R9899) | EWR-Vertrag (https://dodis.ch/R18628)
"III. Portugal ist das einzige EFTA-Land, mit dem die Schweiz bisher kein Doppelbesteuerungsabkommen abgeschlossen hat. Im Rahmen der EFTA befasst sich eine Arbeitsgruppe mit der Frage der Schaffung eines multilateralen Doppelbesteuerungsabkommens unter den EFTA-Staaten. Die 1965 begonnenen Arbeiten sind noch nicht abgeschlossen. Immerhin hat sich während dieser Arbeiten gezeigt, dass speziell im Verhältnis zu Portugal einige Schwierigkeiten zu überwinden sind. Auf portugiesisches Begehren haben im Frühjahr 1964, vor Aufnahme der EFTA-Arbeiten, erste Gespräche zwischen Vertretern der portugiesischen und der eidgenössischen Steuerverwaltung stattgefunden. Dieser erste Kontakt liess es als angezeigt erscheinen, weitere bilaterale Gespräche auszustellen, bis die Arbeiten der EFTA-Arbeitsgruppe für Doppelbesteuerung einen gewissen Fortschritt erreicht hätten. In der Zwischenzeit hat Portugal mit verschiedenen EFTA- und Nicht-EFTA-Staaten Doppelbesteuerungsverhandlungen aufgenommen und den Wunsch geäussert, auch mit der Schweiz die 1964 begonnenen Gespräche fortzuführen. Es scheint zweckmässig, diesem Wunsch eines EFTA-Partners in Form der Weiterführung technischer Gespräche zu entsprechen. Das Ziel der schweizerischen Unterhändler wird sein, abzuklären, ob die portugiesische Verhandlungsbereitschaft sich seit 1964 so weit entwickelt hat, dass mit einem vernünftigen, dem Abkommen Schweiz-Spanien entsprechenden Doppelbesteuerungsvertrag mit Portugal gerechnet werden könnte.",7,EFTA-Arbeitsgruppe (https://dodis.ch/R10096) | EFTA-Arbeiten (https://dodis.ch/R10096) | EFTA-Partners (https://dodis.ch/R10096) | EFTA-Staaten (https://dodis.ch/R10096) | EFTA- (https://dodis.ch/R10096) | EFTA-Land (https://dodis.ch/R10096) | Nicht-EFTA-Staaten (https://dodis.ch/R10096)
"BRF [Bundesrat Felber] bezeichnet rückblickend das EWR-Konzept als «bon moyen», das den EFTA-Staaten zwecks Ausbau und Vertiefung ihrer Beziehungen zur EG angeboten worden war. Inzwischen hat sich aber einiges geändert, sodass BRF [Bundesrat Felber] – und, wie er sagt, mit ihm die übrigen Mitglieder des Bundesrates – heute davon ausgeht, dass der EWR-Vertrag mit Gewissheit hinter den ursprünglichen Erwartungen zurückbleiben wird. Er ist aber überzeugt, dass der Bundesrat mit Rücksicht auf die innenpolitische Situation (fehlende Mehrheit für einen EG-Beitritt) praktisch jeden EWRV annehmen und den Mut nicht aufbringen wird, einen EWRV abzulehnen – es sei denn, dass auch andere EFTA-Regierungen das Verhandlungsergebnis als unbefriedigend zurückweisen.",7,EG-Beitritt (https://dodis.ch/R9899) | EWRV (https://dodis.ch/R18628) | EFTA-Staaten (https://dodis.ch/R10096) | EWR-Konzept (https://dodis.ch/R18628) | BRF (https://dodis.ch/P24533) | EFTA-Regierungen (https://dodis.ch/R9899) | EWR-Vertrag (https://dodis.ch/R18628)
"Ein Arbeitsfrühstück mit der neuen norwegischen Equipe am letzten Tag des Gipfels erlaubte ein eingehendes Gespräch über den EWR im Lichte der zahlreichen bilateralen Treffen und Gespräche zwischen EG und EFTA in Paris. Die einleitende Frage von B[rundtland], die – wie am Tage zuvor schon Premier Carlsson – sich erkundigt, ob auf schweizerischer Seite der in kürzlichen Verlautbarungen der schweizerischen EWR-Verhandlungsdelegation offensichtlich werdende Pessimismus mit Bezug auf einen politischen Durchbruch weiterhin vorherrsche, konnte BPK  [Bundespräsident Koller] damit verneinen, beide Seiten stellen fest, dass von höchster EG-Warte (Präsidentschaft, Kommission) nun eindeutige Willensäusserungen zur Errichtung eines EWR vorliegen. Laut B[rundtland] liegt ein konkreter Lösungsvorschlag bereits bei Andriessen. B[rundtland] glaubt, dass die Aufgabe der Ausnahmen durch die EFTA-Staaten ausschlaggebend war: da der Binnenmarkt im EWR damit weitgehend vorgezeichnet ist, sind institutionelle Konzessionen beim Prozess zu dessen endgültiger Ausgestaltung für die EG etwas weniger problematisch geworden.",6,EFTA-Staaten (https://dodis.ch/R10096) | BPK (NIL) | EG-Warte (https://dodis.ch/R9899) | EWR-Verhandlungsdelegation (https://dodis.ch/R9899) | B (NIL) | [ (NIL)
"Diese Argumentation ist völlig illusorisch, weil die OECD (im Gegensatz zur OECE) mit nur beschränkten handelspolitischen Kompetenzen ausgestattet ist. Jedenfalls genügen sie kaum, um die Mitgliedstaaten der EWG dazu zu bringen, die diskriminatorischen Auswirkungen ihrer Zoll- und Wirtschaftsunion gegenüber den übrigen OECD-Staaten zu mildern. Eine Diskriminierung der Schweiz durch die EWG würde den Zielen der OECD diametral entgegenlaufen, indem unsere wirtschaftliche Stabilität erschüttert und damit auch die Möglichkeit der schweizerischen Teilnahme an der Entwicklungshilfe eingeschränkt würde. Wir haben bekanntlich diesen Gedanken bei Anlass der Ratifizierung der OECD-Konvention der amerikanischen Regierung gegenüber zum Ausdruck gebracht. Schliesslich kann die Situation Amerikas gegenüber der EWG mit derjenigen der Schweiz in keiner Weise verglichen werden. Die Schweiz gewinnt beinahe 13% ihres Nationalproduktes aus den Ausfuhren nach dem durch die europäischen Nato-Länder erweiterten EWG-Raum. Amerikas Ausfuhren nach der EWG und der EFTA machen hingegen weniger als 1% seines Nationalproduktes aus. Deshalb mögen die beschränkten Möglichkeiten der OECD die vergleichsweise recht geringen Probleme Amerikas lösen, nicht aber diejenigen der Schweiz.",6,OECD (https://dodis.ch/R600) | OECD-Staaten (https://dodis.ch/R600) | Nato-Länder (NIL) | EWG-Raum (https://dodis.ch/R9899) | OECE (https://dodis.ch/R600) | OECD-Konvention (NIL)
"​[2.6.] Botschafter Nordmann
 brachte dann das Gespräch, trotz allmählich entstehender Zeitnot, noch auf den letzten Punkt der Tagesordnung, nämlich, die Finanzkrise der Vereinten Nationen, indem er nach der Beurteilung der jüngsten Tagung des CAC (Comité Administratif de Coordination) in Genf fragte. 
B
[outros-Ghali]
 erwiderte darauf, dass der grösste Finanzdruck für das UNO-System vom enormen Aufschwung der friedenssichernden Aktivitäten der Organisation ausgehe. Und zwar verstand er Friedenssicherung diesbezüglich in einem grösseren, nicht nur militärischen Zusammenhang, der auch den präventiven Beitrag der Spezialorganisationen umfasst. Alle müssten sie im Rahmen ihrer Möglichkeiten zur Erfüllung dieses Hauptauftrags der UNO beisteuern und dazu ihre gegenseitige Kooperation verstärken («peace building»). So seien etwa UNDP-Büros in den baltischen und GUS-Republiken einzurichten, ohne dass dies aber der Diversion von Entwicklungshilfe nach Osten Vorschub leisten solle. Und für den reformerischen Follow-up zu UNCTAD VIII und UNCED sollte es nach der Vorstellung B[outros-Ghali]
’s im Interesse einer optimalen Koordination eine gemeinsame «Task force» geben. Auch die Bretton Woods Institute, deren Spitzen an der CAC-Tagung fehlten, seien im übrigen aufgerufen, an dieser Koordinationsanstrengung mitzuwirken. Zur Klärung der Ausgangslage und der Reformachsen sei der frühere BIT-Generaldirektor F. Blanchard mit der Erstellung eines einschlägigen Berichts beauftragt worden. Ferner soll ein CAC-Sekretär im Kabinett des Generalsekretärs ernannt werden.",6,UNO-System (https://dodis.ch/R202) | UNDP-Büros (https://dodis.ch/R23121) | CAC-Tagung (https://dodis.ch/R32436) | GUS-Republiken (https://dodis.ch/R35226) | CAC-Sekretär (https://dodis.ch/R32436) | BIT-Generaldirektor (https://dodis.ch/R1601)
"Anschliessend an die Arbeitssitzung warf Staatssekretär Blankart
 inoffiziell das Problem des ITC/CCI in Genf
 auf (Zurückstufung des Exekutivdirektor-Postens und prov. Besetzung auf bloss 1 Jahr, forcierte Reduzierung des Defizits und des UNO-Personals u. a.). Das vom neuen Generalsekretär verordnete rigorose Rationalisierungsprogramm bekam auch das zur grossen Zufriedenheit der Geberländer sowie der seine Dienste beanspruchenden Entwicklungsländer arbeitende Handelszentrum etwas allzu hart und abrupt zu spüren (Sparen am falschen Ort?). Dies hatte im Vorfeld des Besuchs von B[outros-Ghali]
 Schritte des GATT-Generaldirektors, der GATT-Vertragsparteien und weiterer Verteidiger des CCI ausgelöst. B[outros-Ghali]
, der gegenüber bisherigen Interventionen etwas unwirsch abgewinkt hatte, nahm die Argumente der CCI-Befürworter aus dem Mund des Staatssekretärs zur Kenntnis. Er bestätigte zudem seine Ansicht von der übergeordneten Notwendigkeit der Restrukturierung des UN-Gesamtsystems, die nicht jedesmal haltmachen dürfe, wenn es wehtue. Dies gelte auch für die Kandidatur McCarthy für den Posten des Exekutivdirektors (wobei B[outros-Ghali]
 keineswegs die Notwendigkeit einer raschen Ernennung zur Sicherung der Funktionsfähigkeit des Zentrums in Frage stellte).",6,UNO-Personals (https://dodis.ch/R202) | GATT-Vertragsparteien (https://dodis.ch/R1534) | CCI-Befürworter (https://dodis.ch/R25701) | ITC (https://dodis.ch/R25701) | UN-Gesamtsystems (https://dodis.ch/R202) | GATT-Generaldirektors (https://dodis.ch/P26681)
"G[enscher]​ betont, dass die früheren Satellitenstaaten der UdSSR schnell EG-Mitglieder werden wollen. Die BRD stehe diesen Bestrebungen positiv gegenüber. Die EG müsse diesen Staaten konkrete Mitgliedsperspektiven eröffnen. Nur so können die Regierungen den Völkern die wirtschaftlichen Durststrecken verkaufen: Der schwere Weg führe geradewegs in die EG. Für die BRD stehe aber bei allen Überlegungen mit im Vordergrund: wie reagiert die UdSSR auf diese Entwicklungen? G[enscher]​ meint, Moskau werde sich wegen der EG-Mitgliedschaft dieser Länder nicht bedroht fühlen, und es sehe fast so aus, dass sie der UdSSR sogar lieb sei. Damit werde nämlich die EG-Stabilitätszone direkt bis an die Westgrenze der UdSSR heranreichen. Anders verhält es sich mit allfälligen NATO-Beitrittswünschen der kleineren osteuropäischen Länder. Dies würde Moskau doch stark irritieren, was in niemandes Interesse sei. Daher habe er, G[enscher]​, am 11. April anlässlich seines Besuches in der CSFR mit Aussenminister Dienstbier zehn sogenannte «Prager Thesen» entwickelt. Zentral darin sind für G[enscher], neben der Öffnung der EG für die neuen Demokratien in Mittel- und Osteuropa, die Einbindung der Sowjetunion als gleichberechtigter Partner in einer europäischen Friedensordnung sowie die sicherheitspolitische Eingliederung Osteuropas in gesamteuropäische Institutionen (also nicht NATO). Polen, Ungarn und die CSFR würden dabei als Bindeglied nach Osten fungieren. Des weiteren ist für G[enscher]​ wichtig, dass im Rahmen der Berliner KSZE-Aussenministerkonferenz ein wichtiger Schritt hin zur europäischen Sicherheitsstruktur gemacht werden kann, z. B. in Form einer handlungsfähigen operativen Stelle (Konfliktverhütungszentrum). Zusammen mit der EG und der NATO ergäbe dies eine gesamteuropäische Struktur. Gemäss G[enscher] erleichtert die Philosophie der «Prager Thesen» auch die Lösung des unruhigen Prozesses in der UdSSR selber. Für Moskau sei es sehr wichtig, dass für Polen und die CSFR befriedigende sicherheitspolitische Einbindungen ausserhalb der NATO gefunden werden, sonst sei die Angst zu gross, dass aus der Union austretende Sowjetrepubliken sich ebenfalls der NATO anschliessen wollten. Dies würde die UdSSR niemals akzeptieren. G[enscher] glaubt, dass mit etwas europäischer Phantasie viel erreicht werden könne.",6,KSZE-Aussenministerkonferenz (https://dodis.ch/R20591) | EG-Mitgliedschaft (https://dodis.ch/R9899) | BRD (https://dodis.ch/G806) | EG-Stabilitätszone (https://dodis.ch/R9899) | EG-Mitglieder (https://dodis.ch/R9899) | CSFR (https://dodis.ch/G73)
