phrase,nb_fp,faux_positifs
"Angesichts der ausgezeichneten und ungetrübten Beziehungen wurde in beidseitigem Einvernehmen beschlossen, nichts aktiv aufzugreifen, sondern, falls gewünscht, kommentarlos dem zuständigen Delegationsmitglied Aide-mémoires abzugeben. Im Einverständnis mit dem Departementschef hat die schweizerische Seite davon Gebrauch gemacht und dem Referatsleiter Schweiz im Auswärtigen Amt, H. Nestroy, sechs Memoranden überreicht, die dieser zur beförderlichen Behandlung gerne entgegennahm. Im Einzelnen handelte es sich um folgende Themen: 1) Abkommen zwischen der Schweiz und der BRD über Äquivalenzen im Bereich des höheren Bildungswesens (EDI BBW); 2) Berufliche Vorsorge für Hochschullehrer aus der BRD bei Berufungen in der Schweiz (EDI BBW); 3) Stärkung der Handlungsfähigkeit der Rheinzentralkommission (EDA DV); 4) Verhandlungen zwischen der EG und den EFTA-Staaten über ein Luftverkehrsabkommen (EVED BAZL); 5) Frequenzkoordination Schweiz–BRD betreffend den Sender ​Wittoh​ (EVED GS); 6. EFTA-Arbeitspapier über das geistige Eigentum im EWR (EJPD BAGE).",6,EDA (https://dodis.ch/R27) | EJPD (https://dodis.ch/R180) | EFTA-Staaten (https://dodis.ch/R10096) | EDI (https://dodis.ch/R152) | BRD (https://dodis.ch/G806) | BBW (NIL)
"Das den EWR-Freiheiten zugrundeliegende Recht ist das EG-Recht und wird für uns, via das Abkommen, zum EWR-Recht. Bei der Weiterentwicklung dieses Rechts können wir, auf Expertenebene und parallel zum ganzen EG-Entscheidungsprozess Einfluss nehmen. Wir können letztlich auch entscheiden, ob wir neues EG-Recht übernehmen wollen, wobei wir allerdings riskieren, dass ein negativer Entscheid unseren wirtschaftlichen Interessen schadet. Das EWR-Abkommen ist ein Assoziierungsvertrag. Die assoziierende EG hat sich vorbehalten, wie bisher alleine die erste Geige zu spielen, und die assoziierten EFTA-Staaten müssen sich darauf beschränken, Begleitmusik zu spielen. Aber auch dieser formelle, weniger befriedigende Teil des Vertrages, der bei einer Gesamtbeurteilung in Rechnung zu stellen ist, ist nicht so schlecht, dass er die wirtschaftlichen Vorteile des Abkommens auch nur annähernd aufwiegen könnte. Immerhin gibt es im EWR-Abkommen keine fremden Richter und wir können, wenn wir bereit sind eine Minderung wirtschaftlicher Freiheiten in Kauf zu nehmen, Änderungen des Abkommens verhindern.",6,EG-Entscheidungsprozess (https://dodis.ch/R9899) | EWR-Freiheiten (https://dodis.ch/R18628) | EFTA-Staaten (https://dodis.ch/R10096) | EG-Recht (https://dodis.ch/R9899) | EWR-Abkommen (https://dodis.ch/R18628) | EWR-Recht (https://dodis.ch/R18628)
"Anschliessend an das Gespräch zwischen den beiden Präsidenten im Rahmen der gesamten Delegationen, wurde H[avel] im Ständeratssaal von einer rund 50-köpfigen Delegation (Präsidenten und Vizepräsidenten der beiden Kammern, Mitglieder der aussenpolitischen Kommissionen, Europaratsdelegation) der schweizerischen Bundesversammlung, geleitet von Ständeratspräsident Cavelty (C), für ein Gespräch empfangen; dieser war ebenfalls für alle Medienvertreter offen. Von C[avelty] in der Begrüssung auf die Freundschaft Schweiz-CSFR angesprochen, dankte H[avel] zunächst für die mannigfaltigen Solidaritätsbezeugungen für die tschechoslowakischen Dissidenten unter dem alten Regime und für die Aufnahme von rund 20 000 Tschechoslowaken 1968. Die CSFR schaut auf die Schweiz ganz speziell, um im Bereich politische Kultur zu lernen und um die wirtschaftlichen Beziehungen zu verbreitern. Auf eine Frage von NR Bremi bestätigt H[avel], dass die Schweiz bereits zu den wichtigsten Investoren in der CSFR zähle; die gesetzliche Grundlage für eine weitere Intensivierung würde im Moment gelegt. Was die CSFR allerdings heute am nötigsten habe, sei kurzfristige Hilfe, um einen allzu grossen sozialen Einbruch zu verhindern. Auf Fragen von Nationalratspräsident Ruffy und NR Bundi erläutert H[avel] die Rolle der CSFR und speziell von Prag im Rahmen der neuen europäischen Architektur. Es bestehen durchaus konkrete Aussichten, dass künftig auch andere als nationalstaatliche Akteure (Regionen etc.) beispielsweise bei der KSZE mittun könnten. Die Entscheidung über die Ausgestaltung seiner politischen Struktur und damit auch der internationalen Vertretung, ist aber dem betroffenen Staat selbst zu überlassen.",5,Ständeratspräsident (NIL) | Schweiz-CSFR (https://dodis.ch/G73) | Ständeratssaal (NIL) | Nationalratspräsident (https://dodis.ch/R148) | CSFR (https://dodis.ch/G73)
"Am Gipfeltreffen in Lissabon (26.06.92) werde die EG-Kommission einen Bericht vorlegen, der insbesondere die institutionellen Konsequenzen (Schwierigkeiten) einer EG-Erweiterung um 3, 5 oder 10 und mehr Staaten analysiert. Dies sei schon deshalb nötig, weil in Maastricht einige institutionelle Fragen (Erhöhung der Anzahl deutscher Abgeordneter im Europ. Parlament; Reduktion der Kommissionsmitglieder von 17 Leute auf 12) offen blieben und noch dieses Jahr, im Rahmen von Erweiterungsverhandlungen, behandelt werden sollen.",5,EG-Kommission (https://dodis.ch/R9899) | Europ (NIL) | EG-Erweiterung (https://dodis.ch/R9899) | Parlament (https://dodis.ch/R944) | . (NIL)
"Die EG-Kommission bremst. Vor Beitrittsverhandlungen mit den EFTA-Staaten müsse eine Gesamtstrategie (EG für 30 oder mehr Staaten) und ein umfassender Verhandlungsfahrplan festgelegt werden. In Porto, anlässlich der Unterzeichnung des EWR-Vertrags, hat Präsident Delors seine Haltung etwas nuanciert: er bezeichnete den EWR-Vertrag als optimale Vorbereitung für EG-Beitrittskandidaten. Für jene die der EG nicht beitreten wollen, sei der EWR-Vertrag nicht etwa eine Alternative zum Beitritt, sondern ganz einfach der undiskriminierte Zugang zum EG-Binnenmarkt.",5,EFTA-Staaten (https://dodis.ch/R10096) | EG-Binnenmarkt (https://dodis.ch/R9899) | EG-Beitrittskandidaten (https://dodis.ch/R9899) | EWR-Vertrags (https://dodis.ch/R18628) | EWR-Vertrag (https://dodis.ch/R18628)
"Das erste Thema war Gegenstand von Treffen mit Italien, Schweden, Finnland und Norwegen (mit Österreich werden anlässlich des bevorstehenden Besuches von Bundeskanzler Vranitzky in Bern eingehende Gespräche möglich sein) sowie informeller Gespräche mit der EGK (Delors), Luxemburg (EG-Präsidentschaft 1. Halbjahr 1991) und Bundeskanzler Kohl. Die dabei von der EG-Seite ausgedrückte Botschaft ist grundsätzlich positiv. Ein EWR liegt zum gegenwärtigen Zeitpunkt im allseitigen (EG, EFTA, Gesamteuropa), politischen Interesse (so Delors ausdrücklich auch in der EGK-Ansprache am Gipfel). Daher werden auch die institutionellen Probleme lösbar sein, was allerdings wegen anderseitiger Absorption (GATT, Regierungskonferenzen) der EG kaum mehr im Dezember 90 der Fall sein wird. Die drei EFTA-Partner betonen ihre Entschlossenheit zum Abschluss eines EWR-Vertrages bis zum Frühling 91, geben aber mehr oder weniger deutlich zu verstehen, dass sie dies als Zwischenstufe zum Beitritt sehen.",5,EFTA-Partner (https://dodis.ch/R10096) | EWR-Vertrages (https://dodis.ch/R18628) | EGK-Ansprache (https://dodis.ch/R19371) | EG-Präsidentschaft (https://dodis.ch/R9899) | EG-Seite (https://dodis.ch/R9899)
"10. Bundesintern wurden für den vorliegenden Antrag die nachfolgenden Stellen konsultiert: BK, EDA (DEH, FWD), EJPD (BJ) und EFD (EFV); sie erklärten sich einverstanden. Aufgrund der vorangegangenen Ausführungen beantragen wir Ihnen, dem beiliegenden Beschlussentwurf zuzustimmen.",5,) (NIL) | EJPD (https://dodis.ch/R180) | EFV (NIL) | EFD (https://dodis.ch/R43) | BJ (NIL)
"Hinsichtlich des politischen Aspekts handelt es sich um die politischen Ziele, die bei den einzelnen EWG-Partnern deren Stellungnahme zum Fall Österreich beeinflussen dürften. Einem Bericht unserer Mission in Brüssel entnahmen wir z. B. folgendes: Die Deutsche Bundesrepublik, welche früher die These des jeder Präzedenzwirkung entbehrenden «Spezialfalls Österreich» verfocht, scheint sich nunmehr der holländischen Konzeption angeschlossen zu haben, wonach durch die Assoziierung Österreichs ein Präjudiz geschaffen wird. Für die Holländer sind offenbar gerade die präjudizierenden Auswirkungen der springende Punkt, bzw. der Aspekt, der sie bewegen könnte, ein Abkommen mit Österreich im Hinblick auf dessen wegebnenden Effekt für andere Assoziations- und Beitritts-Gesuche zu genehmigen. Es stellt sich somit die Frage, ob die Präjudiz-These Schule macht und ob z. B. auch Italien (nebst Belgien/Luxemburg) bei der Aussicht auf eine endgültige Sprengung des kleineuropäischen Rahmens wirtschaftliche und anderweitige politische Bedenken zurückstellen würde. In diesem Falle könnten die Franzosen wieder in eine ähnlich isolierte Situation gedrängt werden wie anlässlich des Abbruchs der England-Verhandlungen im Januar d. J. Frankreich wird sicher mit allen Mitteln zu verhindern suchen, dass durch ein Abkommen mit Österreich das allgemeine Problem der Ausweitung der Wirtschaftsgemeinschaft erneut gestellt wird. Mitteilungen unserer Botschaft in Paris war im Übrigen zu entnehmen, dass das Studium der wirtschaftlichen Aspekte einer österreichischen Assoziierung von den französischen Behörden zurzeit nicht weitergeführt wird. Kann man daraus folgern, dass Paris bereits eine grundsätzliche Entscheidung gegen eine Assoziation Österreichs getroffen hat oder haben die Franzosen Grund zur Annahme, dass hinsichtlich der Behandlung des österreichischen Assoziationsgesuchs in Brüssel vorderhand ohnehin keine Fortschritte zu erwarten sind? In diesem Zusammenhang war es interessant zu vernehmen, dass anlässlich einer Informationstagung über das EWG-Kartellrecht, der Sprecher der EWG erklärte, dass man den Österreichern vermutlich vorschlagen werde, sich mit einem nichtpräferenziellen, GATT-konformen Abkommen zu begnügen und sich vorläufig darauf zu konzentrieren, die österreichische Wirtschaft durch Angleichung an die EWG-Verhältnisse integrationsreif zu machen. Der EWG-Sprecher versuchte indirekt darzulegen, dass, ungeachtet der Beispiele Griechenland und Türkei, die anders gelagert wären, eine Assoziation wegen objektiver Schwierigkeiten nicht möglich sein dürfte. Wie Sie sehen, gelangen wir im politischen Bereich nur zu verschiedenen mit Fragezeichen versehenen Spekulationen. Wir sind Ihnen deshalb für die Mitteilung diesbezüglicher Beobachtungen in jedem Falle äusserst dankbar.",5,GATT-konformen (https://dodis.ch/R1534) | EWG-Sprecher (https://dodis.ch/R9899) | EWG-Verhältnisse (https://dodis.ch/R9899) | EWG-Kartellrecht (https://dodis.ch/R9899) | EWG-Partnern (https://dodis.ch/R9899)
"4. Die Schweiz sollte den politischen Dialog, der im Rahmen der EWR-Verhandlungen beschlossen wurde, gleichzeitig gezielt dazu nutzen, ihre eigenen aussen- und sicherheitspolitischen Anliegen und Vorstellungen einzubringen. Die Beziehungen der Schweiz zu den EG-Mitgliedstaaten waren bisher und sind auch heute ein wesentlicher Teil unserer Aussenpolitik. Viele Elemente in diesen Beziehungen werden bei einem EG-Beitritt Teil der gemeinschaftlichen Politik, d. h. einer europäischen Innenpolitik. Die Gestaltung dieser Politik wird zunehmend in die Hände der Fachministerien übergehen, womit sich die Frage nach der Funktion des EDA als Koordinator der Aussenbeziehungen stellt. Wie weit soll der Anspruch des EDA auf die Koordination der schweizerischen Mitwirkung an der europäischen Innenpolitik reichen? Zum gegebenen Zeitpunkt sollte das EDA einen Bericht ausarbeiten über seine Stellung und Aufgaben als Aussenministerium eines EG-Mitgliedstaates Schweiz, unter Zuhilfenahme von Erfahrungen ausgewählter EG-Staaten.",5,EG-Mitgliedstaaten (https://dodis.ch/R9899) | EG-Beitritt (https://dodis.ch/R9899) | EG-Staaten (https://dodis.ch/R9899) | EWR-Verhandlungen (https://dodis.ch/R18628) | EG-Mitgliedstaates (https://dodis.ch/R9899)
"Herr Minister Weitnauer orientiert über den Verlauf der vorbereitenden Arbeiten seit Mitte Dezember 1963. Am 16. Dezember wurde die der Ständigen Wirtschaftsdelegation bekannte schweizerische Note über das Problem der Disparitäten der EWG-Kommission und den Regierungen der EWG-Länder überreicht. Am 23. Dezember schloss der EWG-Ministerrat seine Marathonsitzung. Der allgemeine Eindruck ist, dass das schweizerische Anliegen zur Kenntnis der EWG-Minister gelangt war. Im Hinblick auf die Kennedy-Runde ist das Ergebnis der EWG-Minister-Sitzung aus zwei Gründen bedeutsam: Erstens wurde eine Einigung über die gemeinsame Agrarpolitik der EWG in ihrer Gesamtheit erzielt, womit die Grundlage für eine Agrardiskussion im Rahmen des GATT geschaffen ist; zweitens erklärten sich die Minister bereit, den Grundsatz der 50-prozentigen Zollsenkung zu übernehmen. In bezug auf das die Schweiz besonders interessierende Disparitätenproblem beschlossen sie, von der bisherigen «30–10»-Formel abzugehen und als Kriterium dasjenige des «double écart» zu fordern, d. h. der hohe Zollansatz muss mindestens das Doppelte des niedrigen betragen, wobei der Unterschied bei Fertigprodukten und Rohstoffen mindestens 10 Prozentpunkte betragen muss. Damit fällt die bisher geforderte untere Grenze weg. Schliesslich bestätigen die EWG-Minister die zusätzlichen Kriterien: Keine Anrufung des Disparitätenargumentes, wenn das Niedrigzollland keine eigene Produktion hat und keine Importe in der betreffenden Position tätigt.",5,EWG-Minister (https://dodis.ch/R9899) | EWG-Minister-Sitzung (https://dodis.ch/R9899) | EWG-Ministerrat (https://dodis.ch/R9899) | EWG-Kommission (https://dodis.ch/R9899) | EWG-Länder (https://dodis.ch/R9899)
"Wie der Herr Bundespräsident einleitend feststellt, erachtet er die Mitglieder des Bundesrates als durch die Presse hinreichend orientiert. Zu ergänzen wäre noch, dass die Ministerkonferenz sehr wenig Zeit in Anspruch nahm, nachdem die grundlegenden Beschlüsse bereits in London gefasst worden waren. Die Erklärungen Premierministers Macmillans vor dem Parlament hätten sich genau an die EFTA-Beschlüsse von London gehalten, indem sie die Solidarität der EFTA-Staaten hervorhoben. Dänemark habe sich sofort dem englischen Schritt angeschlossen. Der Präsident der EFTA-Ministerkonferenz, Herr Kreisky, sei beauftragt, der EWG die Bereitschaft der EFTA-Staaten mit den EWG-Verhandlungen zu führen, zu notifizieren. Die Verhandlungen zwischen England und der EWG würden nicht vor Ende August, Anfang September in Gang kommen. Wann die Schweiz zum Zuge kommen werde, das werde sich erst aus der ganzen Entwicklung ergeben. Das Aufrollen des ganzen Fragenkomplexes erfülle den Herrn Bundespräsidenten mit Sorgen. Es werde für uns sehr schwer sein, der EWG unter Wahrung der Neutralität und Unabhängigkeit beizutreten.",5,EFTA-Beschlüsse (NIL) | EFTA-Staaten (https://dodis.ch/R10096) | Bundesrates (https://dodis.ch/R6) | EFTA-Ministerkonferenz (https://dodis.ch/R10096) | EWG-Verhandlungen (https://dodis.ch/R9899)
